2020,2040
Mode,Speed,CO,CO2,NOX,PM10,SOX,VOC,PM2.5,CO,CO2,NOX,PM10,SOX,VOC,PM2.5
Bus,26,3.7714,1430.8138,3.7304,0.0255,0.0128,0.1204,0.0243,3.1149,1084.9049,1.1651,0.0032,0.0094,0.0225,0.0030
Bus,27,3.7280,1403.1221,3.6817,0.0247,0.0126,0.1153,0.0236,3.0759,1061.0931,1.1114,0.0032,0.0092,0.0216,0.0030
Bus,28,3.6846,1375.4304,3.6330,0.0239,0.0123,0.1102,0.0229,3.0370,1037.2814,1.0577,0.0031,0.0089,0.0207,0.0030
Bus,29,3.6413,1347.7387,3.5842,0.0232,0.0120,0.1051,0.0222,2.9981,1013.4696,1.0040,0.0031,0.0087,0.0199,0.0029
Bus,30,3.5979,1320.0470,3.5355,0.0224,0.0118,0.1000,0.0214,2.9591,989.6578,0.9503,0.0031,0.0085,0.0190,0.0029
Bus,31,3.5389,1302.9919,3.4890,0.0218,0.0116,0.0965,0.0209,2.9189,974.6062,0.9043,0.0031,0.0084,0.0184,0.0029
Bus,32,3.4800,1285.9368,3.4425,0.0212,0.0115,0.0930,0.0203,2.8788,959.5545,0.8584,0.0031,0.0083,0.0177,0.0029
Bus,33,3.4210,1268.8817,3.3960,0.0206,0.0114,0.0894,0.0197,2.8386,944.5029,0.8125,0.0031,0.0081,0.0171,0.0029
Bus,34,3.3621,1251.8266,3.3495,0.0200,0.0112,0.0859,0.0192,2.7984,929.4513,0.7666,0.0031,0.0080,0.0164,0.0029
Bus,35,3.3031,1234.7715,3.3030,0.0194,0.0111,0.0824,0.0186,2.7582,914.3996,0.7207,0.0031,0.0079,0.0158,0.0030
Bus,36,3.3885,1237.8678,3.1905,0.0188,0.0111,0.0802,0.0180,2.8909,917.8025,0.6824,0.0032,0.0079,0.0156,0.0030
Bus,37,3.4738,1240.9642,3.0780,0.0181,0.0111,0.0780,0.0173,3.0237,921.2055,0.6441,0.0032,0.0079,0.0155,0.0030
Bus,38,3.5592,1244.0606,2.9655,0.0175,0.0111,0.0757,0.0167,3.1565,924.6084,0.6058,0.0033,0.0078,0.0153,0.0031
Bus,39,3.6446,1247.1569,2.8529,0.0168,0.0111,0.0735,0.0161,3.2892,928.0113,0.5676,0.0033,0.0078,0.0152,0.0031
Bus,40,3.7300,1250.2533,2.7404,0.0162,0.0111,0.0713,0.0155,3.4220,931.4142,0.5293,0.0033,0.0078,0.0150,0.0032
Bus,41,3.7750,1258.8091,2.6699,0.0161,0.0112,0.0702,0.0154,3.5398,941.3220,0.5092,0.0035,0.0079,0.0150,0.0033
Bus,42,3.8200,1267.3650,2.5995,0.0161,0.0113,0.0691,0.0154,3.6575,951.2298,0.4890,0.0036,0.0079,0.0150,0.0034
Bus,43,3.8651,1275.9208,2.5290,0.0160,0.0113,0.0680,0.0153,3.7753,961.1377,0.4689,0.0037,0.0080,0.0150,0.0035
Bus,44,3.9101,1284.4766,2.4585,0.0160,0.0114,0.0669,0.0153,3.8931,971.0455,0.4488,0.0038,0.0081,0.0150,0.0036
Bus,45,3.9551,1293.0324,2.3880,0.0159,0.0115,0.0658,0.0152,4.0108,980.9533,0.4287,0.0039,0.0081,0.0150,0.0038
Bus,46,3.8713,1292.4992,2.4237,0.0165,0.0115,0.0648,0.0158,3.9266,980.8062,0.4258,0.0042,0.0081,0.0148,0.0040
